@RELATION svmYellSoft
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {depressed_speech,yelling}

@DATA
0.098137,0.001545,3.060307,0.239399,0.253278,0.598845,0.006655,0.115628,-33.479639,2.722544,0.126456,-0.056758,0.063548,0.034356,-0.062934,0.056718,0.002348,-0.006141,-0.073358,-0.030608,-0.068496,0.029179,0.005371,0.041748,0.017191,0.017326,0.007949,0.029296,0.002045,0.005752,0.011507,0.063208,0.005916,0.031410,0.058083,0.002012,0.245214,0.054889,0.032612,0.428982,0.005850,0.110991,2.145906,0.554824,0.493958,0.380765,0.328749,0.273321,0.239249,0.233426,0.235253,0.223824,0.241316,0.244258,0.234825,0.033489,0.006849,0.033095,0.019209,0.014016,0.009539,0.024014,0.003452,0.007099,0.011830,0.043854,0.007482,0.014898,depressed_speech
0.090071,0.006355,3.030327,0.209084,0.232256,0.594198,0.008033,0.115037,-30.641811,2.806522,0.269448,-0.532755,-0.467104,0.048952,-0.130475,-0.008850,0.043229,-0.029313,-0.194728,-0.082425,-0.112633,0.024519,0.013748,0.040601,0.026403,0.016913,0.012884,0.025761,0.002272,0.006140,0.010733,0.026332,0.010930,0.025278,0.054288,0.006919,0.279019,0.053426,0.031019,0.463139,0.006739,0.105628,2.031135,0.707378,0.471559,0.422815,0.315476,0.300841,0.253605,0.252456,0.233332,0.239331,0.249966,0.248427,0.236202,0.024795,0.017223,0.035620,0.029307,0.017049,0.013771,0.022593,0.003311,0.006575,0.010453,0.022832,0.013853,0.013383,depressed_speech
0.114693,0.002079,2.948677,0.224606,0.224982,0.674219,0.008548,0.164361,-32.065637,2.715713,0.208543,-0.430196,-0.170752,0.083433,-0.087993,0.112067,-0.025119,-0.023047,-0.078317,-0.099377,-0.146025,0.022463,0.011155,0.047840,0.020037,0.015952,0.009464,0.035906,0.002390,0.004751,0.008545,0.029243,0.008173,0.026910,0.072894,0.002980,0.382130,0.067594,0.041875,0.482431,0.008155,0.137000,2.514469,0.793465,0.490379,0.467103,0.329955,0.296298,0.258679,0.245137,0.247268,0.243515,0.260172,0.248744,0.249375,0.025182,0.013631,0.046193,0.025099,0.015566,0.011711,0.036287,0.003709,0.005518,0.008552,0.028344,0.010912,0.016922,depressed_speech
0.082836,0.001536,3.058805,0.195154,0.225538,0.535834,0.008063,0.106914,-31.697658,2.718794,-0.012833,-0.331889,-0.366374,0.021491,-0.173412,-0.029801,0.048962,-0.175779,-0.097425,-0.092237,-0.083800,0.015261,0.009823,0.037879,0.038410,0.018900,0.011433,0.020831,0.002078,0.006747,0.012001,0.032326,0.009177,0.027068,0.049947,0.001871,0.243455,0.049833,0.032272,0.402546,0.006752,0.087914,1.935796,0.682347,0.489923,0.407372,0.328655,0.309750,0.259757,0.269049,0.270724,0.301641,0.286221,0.261514,0.232599,0.016052,0.012187,0.033377,0.036864,0.019451,0.013512,0.019398,0.002901,0.007837,0.012065,0.028038,0.011198,0.014034,depressed_speech
0.112435,0.001985,3.025562,0.237574,0.233859,0.808998,0.006516,0.159474,-31.914750,2.270432,0.611989,-0.137996,-0.024822,-0.035768,-0.195944,-0.058823,0.037126,-0.092815,-0.040409,-0.050568,-0.102606,0.026495,0.004182,0.044056,0.021762,0.017843,0.008436,0.025534,0.001336,0.006041,0.011228,0.047781,0.004628,0.030414,0.062291,0.002382,0.322870,0.054914,0.036162,0.506699,0.005656,0.127487,2.265003,0.804534,0.525967,0.439179,0.311522,0.316252,0.295937,0.278955,0.250321,0.266389,0.263035,0.251863,0.251198,0.032963,0.005448,0.043070,0.029043,0.018058,0.010072,0.022784,0.001853,0.007473,0.011438,0.036939,0.005770,0.016690,depressed_speech
0.109474,0.003105,3.056342,0.218207,0.220501,0.746920,0.005140,0.152876,-31.648551,2.549833,0.251289,0.110822,-0.145721,0.272662,-0.155180,0.058918,0.045877,0.190104,-0.074882,0.097097,0.028492,0.011190,0.004670,0.030160,0.014135,0.032716,0.011104,0.037134,0.002301,0.006418,0.012497,0.038945,0.005392,0.024962,0.061147,0.003465,0.248898,0.058450,0.037238,0.495991,0.003779,0.121999,2.597085,0.707016,0.520306,0.348328,0.352981,0.304168,0.286104,0.249923,0.235789,0.229383,0.235176,0.203884,0.193696,0.012215,0.006033,0.025333,0.016086,0.026877,0.013358,0.030621,0.003409,0.007233,0.012399,0.030191,0.006562,0.011798,depressed_speech
0.112851,0.001254,3.054415,0.255165,0.247904,0.737663,0.006231,0.156177,-33.250881,2.596406,0.320042,0.011819,-0.013919,0.002042,-0.141441,-0.097630,0.025083,-0.100475,-0.046061,0.091387,0.065204,0.010368,0.003447,0.032128,0.022408,0.024319,0.020973,0.043917,0.001088,0.005916,0.011237,0.054060,0.003897,0.033266,0.059609,0.001611,0.256929,0.049808,0.035454,0.446428,0.006017,0.127128,1.961906,0.656598,0.524800,0.378896,0.301634,0.276203,0.258980,0.273467,0.264248,0.261336,0.241561,0.231586,0.215722,0.011129,0.004464,0.025231,0.030533,0.024739,0.026405,0.036649,0.001870,0.007960,0.011182,0.042320,0.005044,0.016350,depressed_speech
0.102253,0.001205,3.050300,0.225273,0.235969,0.675193,0.007028,0.134986,-32.978821,2.479234,0.178756,-0.095391,-0.031261,-0.081555,-0.194764,-0.058152,0.028044,-0.205892,-0.092536,0.014522,-0.057782,0.012158,0.007623,0.036986,0.031732,0.028319,0.016447,0.029331,0.001882,0.005616,0.009698,0.033634,0.004414,0.028175,0.056055,0.001641,0.296624,0.052978,0.035544,0.472793,0.006376,0.119297,2.148858,0.707034,0.527767,0.431096,0.321918,0.291704,0.267840,0.269986,0.261944,0.268976,0.275090,0.242706,0.237320,0.012764,0.010120,0.030649,0.034926,0.030625,0.020652,0.028004,0.002615,0.006450,0.009854,0.027999,0.004914,0.015326,depressed_speech
0.093193,0.001717,3.047221,0.226316,0.243231,0.532675,0.007957,0.115527,-32.685017,2.962334,0.234488,-0.156991,-0.115956,-0.193140,-0.157119,-0.205604,-0.141469,-0.097107,-0.104594,-0.065611,-0.052089,0.021162,0.005659,0.034690,0.038672,0.029741,0.017637,0.025956,0.002089,0.009248,0.011097,0.034037,0.005506,0.031976,0.060831,0.002230,0.275538,0.054995,0.032966,0.400816,0.006940,0.119448,2.305522,0.645335,0.492340,0.414069,0.307622,0.281955,0.256452,0.270322,0.255400,0.273342,0.260463,0.250287,0.235576,0.025861,0.007424,0.033824,0.045757,0.032685,0.021975,0.024218,0.003094,0.010871,0.011168,0.030266,0.006750,0.016642,depressed_speech
0.104959,0.002831,3.072349,0.212530,0.221652,0.696804,0.006355,0.144310,-30.993157,2.402610,-0.090428,-0.124496,-0.140129,0.147749,-0.178960,-0.153928,-0.016406,0.010881,-0.139564,-0.057927,-0.137171,0.028670,0.006213,0.026427,0.014496,0.016291,0.012685,0.021833,0.003785,0.007000,0.014087,0.036956,0.009274,0.023361,0.056364,0.003168,0.273567,0.052965,0.033929,0.455014,0.004951,0.109358,2.194903,0.649187,0.539642,0.419750,0.323147,0.345148,0.267536,0.256094,0.232139,0.234604,0.240037,0.234635,0.246640,0.030425,0.008198,0.023700,0.017470,0.014768,0.014646,0.020795,0.005782,0.007906,0.013819,0.031084,0.012046,0.012344,depressed_speech
